dataset_label_raw,dataset_label_canonical,matched_model_labels_raw
abseiling,abseiling,abseiling
air drumming,air drumming,air drumming
answering questions,answering questions,answering questions
applauding,applauding,applauding
applying cream,applying cream,applying cream
archery,archery,archery
arm wrestling,arm wrestling,arm wrestling
arranging flowers,arranging flowers,arranging flowers
assembling computer,assembling computer,assembling computer
auctioning,auctioning,auctioning
baby waking up,baby waking up,baby waking up
baking cookies,baking cookies,baking cookies
balloon blowing,balloon blowing,balloon blowing
bandaging,bandaging,bandaging
barbequing,barbequing,barbequing
bartending,bartending,bartending
beatboxing,beatboxing,beatboxing
bee keeping,bee keeping,bee keeping
belly dancing,belly dancing,belly dancing
bench pressing,bench pressing,bench pressing
bending back,bending back,bending back
bending metal,bending metal,bending metal
biking through snow,biking through snow,biking through snow
blasting sand,blasting sand,blasting sand
blowing glass,blowing glass,blowing glass
blowing leaves,blowing leaves,blowing leaves
blowing nose,blowing nose,blowing nose
blowing out candles,blowing out candles,blowing out candles
bobsledding,bobsledding,bobsledding
bookbinding,bookbinding,bookbinding
bouncing on trampoline,bouncing on trampoline,bouncing on trampoline
bowling,bowling,bowling
braiding hair,braiding hair,braiding hair
breading or breadcrumbing,breading or breadcrumbing,breading or breadcrumbing
breakdancing,breakdancing,breakdancing
brush painting,brush painting,brush painting
brushing hair,brushing hair,brushing hair
brushing teeth,brushing teeth,brushing teeth
building cabinet,building cabinet,building cabinet
building shed,building shed,building shed
bungee jumping,bungee jumping,bungee jumping
busking,busking,busking
canoeing or kayaking,canoeing or kayaking,canoeing or kayaking
capoeira,capoeira,capoeira
carrying baby,carrying baby,carrying baby
cartwheeling,cartwheeling,cartwheeling
carving pumpkin,carving pumpkin,carving pumpkin
catching fish,catching fish,catching fish
catching or throwing baseball,catching or throwing baseball,catching or throwing baseball
catching or throwing frisbee,catching or throwing frisbee,catching or throwing frisbee
catching or throwing softball,catching or throwing softball,catching or throwing softball
celebrating,celebrating,celebrating
changing oil,changing oil,changing oil
changing wheel,changing wheel,changing wheel
checking tires,checking tires,checking tires
cheerleading,cheerleading,cheerleading
chopping wood,chopping wood,chopping wood
clapping,clapping,clapping
clay pottery making,clay pottery making,clay pottery making
clean and jerk,clean and jerk,clean and jerk
cleaning floor,cleaning floor,cleaning floor
cleaning gutters,cleaning gutters,cleaning gutters
cleaning pool,cleaning pool,cleaning pool
cleaning shoes,cleaning shoes,cleaning shoes
cleaning toilet,cleaning toilet,cleaning toilet
cleaning windows,cleaning windows,cleaning windows
climbing a rope,climbing a rope,climbing a rope
climbing ladder,climbing ladder,climbing ladder
climbing tree,climbing tree,climbing tree
contact juggling,contact juggling,contact juggling
cooking chicken,cooking chicken,cooking chicken
cooking egg,cooking egg,cooking egg
cooking on campfire,cooking on campfire,cooking on campfire
cooking sausages,cooking sausages,cooking sausages
counting money,counting money,counting money
country line dancing,country line dancing,country line dancing
cracking neck,cracking neck,cracking neck
crawling baby,crawling baby,crawling baby
crossing river,crossing river,crossing river
crying,crying,crying
curling hair,curling hair,curling hair
cutting nails,cutting nails,cutting nails
cutting pineapple,cutting pineapple,cutting pineapple
cutting watermelon,cutting watermelon,cutting watermelon
dancing ballet,dancing ballet,dancing ballet
dancing charleston,dancing charleston,dancing charleston
dancing gangnam style,dancing gangnam style,dancing gangnam style
dancing macarena,dancing macarena,dancing macarena
deadlifting,deadlifting,deadlifting
decorating the christmas tree,decorating the christmas tree,decorating the christmas tree
digging,digging,digging
dining,dining,dining
disc golfing,disc golfing,disc golfing
diving cliff,diving cliff,diving cliff
dodgeball,dodgeball,dodgeball
doing aerobics,doing aerobics,doing aerobics
doing laundry,doing laundry,doing laundry
doing nails,doing nails,doing nails
drawing,drawing,drawing
dribbling basketball,dribbling basketball,dribbling basketball
drinking,drinking,drinking
drinking beer,drinking beer,drinking beer
drinking shots,drinking shots,drinking shots
driving car,driving car,driving car
driving tractor,driving tractor,driving tractor
drop kicking,drop kicking,drop kicking
drumming fingers,drumming fingers,drumming fingers
dunking basketball,dunking basketball,dunking basketball
dying hair,dying hair,dying hair
eating burger,eating burger,eating burger
eating cake,eating cake,eating cake
eating carrots,eating carrots,eating carrots
eating chips,eating chips,eating chips
eating doughnuts,eating doughnuts,eating doughnuts
eating hotdog,eating hotdog,eating hotdog
eating ice cream,eating ice cream,eating ice cream
eating spaghetti,eating spaghetti,eating spaghetti
eating watermelon,eating watermelon,eating watermelon
egg hunting,egg hunting,egg hunting
exercising arm,exercising arm,exercising arm
exercising with an exercise ball,exercising with an exercise ball,exercising with an exercise ball
extinguishing fire,extinguishing fire,extinguishing fire
faceplanting,faceplanting,faceplanting
feeding birds,feeding birds,feeding birds
feeding fish,feeding fish,feeding fish
feeding goats,feeding goats,feeding goats
filling eyebrows,filling eyebrows,filling eyebrows
finger snapping,finger snapping,finger snapping
fixing hair,fixing hair,fixing hair
flipping pancake,flipping pancake,flipping pancake
flying kite,flying kite,flying kite
folding clothes,folding clothes,folding clothes
folding napkins,folding napkins,folding napkins
folding paper,folding paper,folding paper
front raises,front raises,front raises
frying vegetables,frying vegetables,frying vegetables
garbage collecting,garbage collecting,garbage collecting
gargling,gargling,gargling
getting a haircut,getting a haircut,getting a haircut
getting a tattoo,getting a tattoo,getting a tattoo
giving or receiving award,giving or receiving award,giving or receiving award
golf chipping,golf chipping,golf chipping
golf driving,golf driving,golf driving
golf putting,golf putting,golf putting
grinding meat,grinding meat,grinding meat
grooming dog,grooming dog,grooming dog
grooming horse,grooming horse,grooming horse
gymnastics tumbling,gymnastics tumbling,gymnastics tumbling
hammer throw,hammer throw,hammer throw
headbanging,headbanging,headbanging
headbutting,headbutting,headbutting
high jump,high jump,high jump
high kick,high kick,high kick
hitting baseball,hitting baseball,hitting baseball
hockey stop,hockey stop,hockey stop
holding snake,holding snake,holding snake
hopscotch,hopscotch,hopscotch
hoverboarding,hoverboarding,hoverboarding
hugging,hugging,hugging
hula hooping,hula hooping,hula hooping
hurdling,hurdling,hurdling
hurling sport,hurling sport,hurling (sport)
ice climbing,ice climbing,ice climbing
ice fishing,ice fishing,ice fishing
ice skating,ice skating,ice skating
ironing,ironing,ironing
javelin throw,javelin throw,javelin throw
jetskiing,jetskiing,jetskiing
jogging,jogging,jogging
juggling balls,juggling balls,juggling balls
juggling fire,juggling fire,juggling fire
juggling soccer ball,juggling soccer ball,juggling soccer ball
jumping into pool,jumping into pool,jumping into pool
jumpstyle dancing,jumpstyle dancing,jumpstyle dancing
kicking field goal,kicking field goal,kicking field goal
kicking soccer ball,kicking soccer ball,kicking soccer ball
kissing,kissing,kissing
kitesurfing,kitesurfing,kitesurfing
knitting,knitting,knitting
krumping,krumping,krumping
laughing,laughing,laughing
laying bricks,laying bricks,laying bricks
long jump,long jump,long jump
lunge,lunge,lunge
making a cake,making a cake,making a cake
making a sandwich,making a sandwich,making a sandwich
making bed,making bed,making bed
making jewelry,making jewelry,making jewelry
making pizza,making pizza,making pizza
making snowman,making snowman,making snowman
making sushi,making sushi,making sushi
making tea,making tea,making tea
marching,marching,marching
massaging back,massaging back,massaging back
massaging feet,massaging feet,massaging feet
massaging legs,massaging legs,massaging legs
massaging person s head,massaging person s head,massaging person's head
milking cow,milking cow,milking cow
mopping floor,mopping floor,mopping floor
motorcycling,motorcycling,motorcycling
moving furniture,moving furniture,moving furniture
mowing lawn,mowing lawn,mowing lawn
news anchoring,news anchoring,news anchoring
opening bottle,opening bottle,opening bottle
opening present,opening present,opening present
paragliding,paragliding,paragliding
parasailing,parasailing,parasailing
parkour,parkour,parkour
passing american football in game,passing american football in game,passing American football (in game)
passing american football not in game,passing american football not in game,passing American football (not in game)
peeling apples,peeling apples,peeling apples
peeling potatoes,peeling potatoes,peeling potatoes
petting animal not cat,petting animal not cat,petting animal (not cat)
petting cat,petting cat,petting cat
picking fruit,picking fruit,picking fruit
planting trees,planting trees,planting trees
plastering,plastering,plastering
playing accordion,playing accordion,playing accordion
playing badminton,playing badminton,playing badminton
playing bagpipes,playing bagpipes,playing bagpipes
playing basketball,playing basketball,playing basketball
playing bass guitar,playing bass guitar,playing bass guitar
playing cards,playing cards,playing cards
playing cello,playing cello,playing cello
playing chess,playing chess,playing chess
playing clarinet,playing clarinet,playing clarinet
playing controller,playing controller,playing controller
playing cricket,playing cricket,playing cricket
playing cymbals,playing cymbals,playing cymbals
playing didgeridoo,playing didgeridoo,playing didgeridoo
playing drums,playing drums,playing drums
playing flute,playing flute,playing flute
playing guitar,playing guitar,playing guitar
playing harmonica,playing harmonica,playing harmonica
playing harp,playing harp,playing harp
playing ice hockey,playing ice hockey,playing ice hockey
playing keyboard,playing keyboard,playing keyboard
playing kickball,playing kickball,playing kickball
playing monopoly,playing monopoly,playing monopoly
playing organ,playing organ,playing organ
playing paintball,playing paintball,playing paintball
playing piano,playing piano,playing piano
playing poker,playing poker,playing poker
playing recorder,playing recorder,playing recorder
playing saxophone,playing saxophone,playing saxophone
playing squash or racquetball,playing squash or racquetball,playing squash or racquetball
playing tennis,playing tennis,playing tennis
playing trombone,playing trombone,playing trombone
playing trumpet,playing trumpet,playing trumpet
playing ukulele,playing ukulele,playing ukulele
playing violin,playing violin,playing violin
playing volleyball,playing volleyball,playing volleyball
playing xylophone,playing xylophone,playing xylophone
