raw_label,normalized_label,canonical_label,n_videos
abseiling,abseiling,abseiling,3
air_drumming,air drumming,air drumming,3
answering_questions,answering questions,answering questions,3
applauding,applauding,applauding,3
applying_cream,applying cream,applying cream,3
archery,archery,archery,3
arm_wrestling,arm wrestling,arm wrestling,3
arranging_flowers,arranging flowers,arranging flowers,3
assembling_computer,assembling computer,assembling computer,3
auctioning,auctioning,auctioning,3
baby_waking_up,baby waking up,baby waking up,3
baking_cookies,baking cookies,baking cookies,3
balloon_blowing,balloon blowing,balloon blowing,3
bandaging,bandaging,bandaging,3
barbequing,barbequing,barbequing,3
bartending,bartending,bartending,3
beatboxing,beatboxing,beatboxing,3
bee_keeping,bee keeping,bee keeping,3
belly_dancing,belly dancing,belly dancing,3
bench_pressing,bench pressing,bench pressing,3
bending_back,bending back,bending back,3
bending_metal,bending metal,bending metal,3
biking_through_snow,biking through snow,biking through snow,3
blasting_sand,blasting sand,blasting sand,3
blowing_glass,blowing glass,blowing glass,3
blowing_leaves,blowing leaves,blowing leaves,3
blowing_nose,blowing nose,blowing nose,3
blowing_out_candles,blowing out candles,blowing out candles,3
bobsledding,bobsledding,bobsledding,3
bookbinding,bookbinding,bookbinding,3
bouncing_on_trampoline,bouncing on trampoline,bouncing on trampoline,3
bowling,bowling,bowling,3
braiding_hair,braiding hair,braiding hair,3
breading_or_breadcrumbing,breading or breadcrumbing,breading or breadcrumbing,3
breakdancing,breakdancing,breakdancing,3
brush_painting,brush painting,brush painting,3
brushing_hair,brushing hair,brushing hair,3
brushing_teeth,brushing teeth,brushing teeth,3
building_cabinet,building cabinet,building cabinet,3
building_shed,building shed,building shed,3
bungee_jumping,bungee jumping,bungee jumping,3
busking,busking,busking,3
canoeing_or_kayaking,canoeing or kayaking,canoeing or kayaking,3
capoeira,capoeira,capoeira,3
carrying_baby,carrying baby,carrying baby,3
cartwheeling,cartwheeling,cartwheeling,3
carving_pumpkin,carving pumpkin,carving pumpkin,3
catching_fish,catching fish,catching fish,3
catching_or_throwing_baseball,catching or throwing baseball,catching or throwing baseball,3
catching_or_throwing_frisbee,catching or throwing frisbee,catching or throwing frisbee,3
catching_or_throwing_softball,catching or throwing softball,catching or throwing softball,3
celebrating,celebrating,celebrating,3
changing_oil,changing oil,changing oil,3
changing_wheel,changing wheel,changing wheel,3
checking_tires,checking tires,checking tires,3
cheerleading,cheerleading,cheerleading,3
chopping_wood,chopping wood,chopping wood,3
clapping,clapping,clapping,3
clay_pottery_making,clay pottery making,clay pottery making,3
clean_and_jerk,clean and jerk,clean and jerk,3
cleaning_floor,cleaning floor,cleaning floor,3
cleaning_gutters,cleaning gutters,cleaning gutters,3
cleaning_pool,cleaning pool,cleaning pool,3
cleaning_shoes,cleaning shoes,cleaning shoes,3
cleaning_toilet,cleaning toilet,cleaning toilet,3
cleaning_windows,cleaning windows,cleaning windows,3
climbing_a_rope,climbing a rope,climbing a rope,3
climbing_ladder,climbing ladder,climbing ladder,3
climbing_tree,climbing tree,climbing tree,3
contact_juggling,contact juggling,contact juggling,3
cooking_chicken,cooking chicken,cooking chicken,3
cooking_egg,cooking egg,cooking egg,3
cooking_on_campfire,cooking on campfire,cooking on campfire,3
cooking_sausages,cooking sausages,cooking sausages,3
counting_money,counting money,counting money,3
country_line_dancing,country line dancing,country line dancing,3
cracking_neck,cracking neck,cracking neck,3
crawling_baby,crawling baby,crawling baby,3
crossing_river,crossing river,crossing river,3
crying,crying,crying,3
curling_hair,curling hair,curling hair,3
cutting_nails,cutting nails,cutting nails,3
cutting_pineapple,cutting pineapple,cutting pineapple,3
cutting_watermelon,cutting watermelon,cutting watermelon,3
dancing_ballet,dancing ballet,dancing ballet,3
dancing_charleston,dancing charleston,dancing charleston,3
dancing_gangnam_style,dancing gangnam style,dancing gangnam style,3
dancing_macarena,dancing macarena,dancing macarena,3
deadlifting,deadlifting,deadlifting,3
decorating_the_christmas_tree,decorating the christmas tree,decorating the christmas tree,3
digging,digging,digging,3
dining,dining,dining,3
disc_golfing,disc golfing,disc golfing,3
diving_cliff,diving cliff,diving cliff,3
dodgeball,dodgeball,dodgeball,3
doing_aerobics,doing aerobics,doing aerobics,3
doing_laundry,doing laundry,doing laundry,3
doing_nails,doing nails,doing nails,3
drawing,drawing,drawing,3
dribbling_basketball,dribbling basketball,dribbling basketball,3
drinking,drinking,drinking,3
drinking_beer,drinking beer,drinking beer,3
drinking_shots,drinking shots,drinking shots,3
driving_car,driving car,driving car,3
driving_tractor,driving tractor,driving tractor,3
drop_kicking,drop kicking,drop kicking,3
drumming_fingers,drumming fingers,drumming fingers,3
dunking_basketball,dunking basketball,dunking basketball,3
dying_hair,dying hair,dying hair,3
eating_burger,eating burger,eating burger,3
eating_cake,eating cake,eating cake,3
eating_carrots,eating carrots,eating carrots,3
eating_chips,eating chips,eating chips,3
eating_doughnuts,eating doughnuts,eating doughnuts,3
eating_hotdog,eating hotdog,eating hotdog,3
eating_ice_cream,eating ice cream,eating ice cream,3
eating_spaghetti,eating spaghetti,eating spaghetti,3
eating_watermelon,eating watermelon,eating watermelon,3
egg_hunting,egg hunting,egg hunting,3
exercising_arm,exercising arm,exercising arm,3
exercising_with_an_exercise_ball,exercising with an exercise ball,exercising with an exercise ball,3
extinguishing_fire,extinguishing fire,extinguishing fire,3
faceplanting,faceplanting,faceplanting,3
feeding_birds,feeding birds,feeding birds,3
feeding_fish,feeding fish,feeding fish,3
feeding_goats,feeding goats,feeding goats,3
filling_eyebrows,filling eyebrows,filling eyebrows,3
finger_snapping,finger snapping,finger snapping,3
fixing_hair,fixing hair,fixing hair,3
flipping_pancake,flipping pancake,flipping pancake,3
flying_kite,flying kite,flying kite,3
folding_clothes,folding clothes,folding clothes,3
folding_napkins,folding napkins,folding napkins,3
folding_paper,folding paper,folding paper,3
front_raises,front raises,front raises,3
frying_vegetables,frying vegetables,frying vegetables,3
garbage_collecting,garbage collecting,garbage collecting,3
gargling,gargling,gargling,3
getting_a_haircut,getting a haircut,getting a haircut,3
getting_a_tattoo,getting a tattoo,getting a tattoo,3
giving_or_receiving_award,giving or receiving award,giving or receiving award,3
golf_chipping,golf chipping,golf chipping,3
golf_driving,golf driving,golf driving,3
golf_putting,golf putting,golf putting,3
grinding_meat,grinding meat,grinding meat,3
grooming_dog,grooming dog,grooming dog,3
grooming_horse,grooming horse,grooming horse,3
gymnastics_tumbling,gymnastics tumbling,gymnastics tumbling,3
hammer_throw,hammer throw,hammer throw,3
headbanging,headbanging,headbanging,3
headbutting,headbutting,headbutting,3
high_jump,high jump,high jump,3
high_kick,high kick,high kick,3
hitting_baseball,hitting baseball,hitting baseball,3
hockey_stop,hockey stop,hockey stop,3
holding_snake,holding snake,holding snake,3
hopscotch,hopscotch,hopscotch,3
hoverboarding,hoverboarding,hoverboarding,3
hugging,hugging,hugging,3
